CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
v1038,19013413-61df-4b75-b8f5-ac65d537814f,VALID,"Terveydenhuolto, sairaanhoito ja ravitsemus","Hälso- och sjukvård, näring","Health and medical care, nutrition",Tässä palveluluokassa käsitellään sekä yleisiä että tietyille ryhmille suunnattuja terveyden- ja sairaanhoidon palveluja. Luokkaan kuuluvat myös lääkkeisiin ja ravitsemukseen liittyvät palvelut sekä kuntoutus terveydenhoidollisen ja lääkinnällisen kuntoutuksen osalta.,I denna serviceundergrupp behandlas både allmänna och hälso- och sjukvårdstjänster för vissa grupper. Till gruppen hör också tjänster i anslutning till läkemedel och näring samt rehabilitering för hälso- och sjukvårdens och medicinska rehabiliteringens del.,"This service class contains health and medical care services, both general services and those intended for specific groups. It also includes services associated with medicines and nutrition, as well as rehabilitation for the part of health care related and medical rehabilitation.",,,,
v1039,f1132379-6f2b-4f3d-85e6-f33a1218250f,VALID,Perusterveydenhuolto,Primärvård,Primary health care,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka sijoittuvat perusterveydenhuollon määritelmään: Perusterveydenhuolto edistää, tukee ja ylläpitää väestön terveyttä, hyvinvointia ja toimintakykyä tarjoamalla terveyden- ja sairaanhoidon palveluita. Pääasialliset palvelumuodot ovat kuntalaisten käynnit eriasteisten hoitajien ja lääkäreiden vastaanotoilla ja ympärivuorokautinen sairaanhoito terveyskeskuksessa. Toiminta perustuu pääosin kunnallista terveydenhuoltoa säätelevään lainsäädäntöön.","Denna serviceundergrupp omfattar tjänster som svarar mot definitionen av primärvård: Primärvården främjar, stöder och upprätthåller befolkningens hälsa, välfärd och funktionsförmåga genom att erbjuda hälso- och sjukvårdstjänster. Huvudsakliga serviceformer är kommuninvånarnas besök på olika graders skötar- och läkarmottagningar och dygnet runt sjukvård på hälsovårdscentralen. Verksamheten grundar sig i huvudsak på lagstiftning som reglerar den kommunala hälso- och sjukvården.","This service subclass contains services that meet the following definition of primary care: “The task of primary health care is to maintain, support and improve citizens’ health, well-being, and work and functional ability by offering health and medical care services. The main service forms are visits made by municipal residents to the surgeries of nurses and doctors at different levels and 24-hour medical care at health centres. The activities are primarily based on the legislation that regulates municipal health care.”",,,,
v1040,b83a9f67-9b4a-44c1-82da-57abcabc33ad,VALID,Neuvolapalvelut,Rådgivningstjänster,Health clinic services,Tässä palvelualaluokassa käsitellään kuntien lakisääteisesti järjestämiä äitiys-ja lastenneuvolapalveluja eri toimintamuotoineen.,I denna serviceundergrupp behandlas kommunens lagstadgade moderskaps- och barnrådgivningstjänster med olika verksamhetsformer.,This service subclass contains the statutory maternity and child health clinic services organised by the municipalities and the clinics’ various forms of activities.,,,,
v1041,fbbf1126-6ff6-4973-93e8-be8aab4d1e5f,VALID,Rokotukset,Vaccinationer,Vaccinations,"Tässä palvelualaluokassa käsitellään rokotuksia perusterveydenhuollon palveluna, kansanterveyteen kuuluvina ohjelmina että kansalaisen terveyshistoriaan kuuluvana asiana.","I denna serviceundergrupp behandlas vaccinationer som primärvårdstjänster, program som hör till folkhälsan och som ett ärende som hör till medborgarens hälsohistoria.","This service subclass approaches vaccinations as a primary health care service, national health programmes and an issue relevant to a citizen's health history.",,,,
v1042,47a15dba-72ce-4964-b43b-4b2069ab6981,VALID,"Röntgen, laboratorio ja muut tutkimuspalvelut","Röntgen, laboratorium och övriga undersökningstjänster","Imaging, laboratory and other examination services",Tässä palvelualaluokassa käsitellään terveydenhuollon toimipisteissä annettavia erilaisia kliinisiä potilaan tutkimuspalveluja. Tähän luokkaan eivät kuulu tieteelliseen tutkimukseen liittyvät tutkimuspalvelut.,I denna serviceundergrupp behandlas olika kliniska patientundersökningstjänster som erbjuds på hälso- och sjukvårdens verksamhetsställen. Till denna grupp hör inte undersökningstjänster i anslutning till vetenskaplig forskning.,This service subclass contains different clinical patient examination services provided at health care service points. Laboratory services associated with scientific research are not included in this class.,,,,
v1043,098c7da2-0846-4d8f-b4bf-a99d7d2013f2,VALID,Ensiapu ja päivystys,Förstahjälpen och jouren,First aid and emergency care,Tässä palvelualaluokassa käsitellään potilaan kiireelliseen hoitoon ja hoitoon hakeutumiseen liittyviä palveluja.,I denna serviceundergrupp behandlas tjänster i anslutning till brådskande vård av patienten och uppsökande av vård.,This service subclass contains services related to providing and obtaining urgent care.,,,,
v1044,356a152d-1782-463b-9788-209c483da1fd,VALID,Erikoissairaanhoito,Specialiserad sjukvård,Specialised medical care,Tässä palvelualaluokassa käsiteltävät palvelut sijoittuvat erikoissairaanhoidon määritelmään: Erikoissairaanhoito tarkoittaa sairaalassa annettavaa erikoislääkärien tekemää tutkimusta ja hoitoa. Määritelmän mukaan myös ruumiinavaus ja patologin palvelut kuuluvat tähän.,Tjänster i denna serviceundergrupp behandlas enligt definitionen på specialiserad sjukvård: Med specialiserad sjukvård avses undersökningar och vård som ges av specialläkare. Enligt definitionen hör också obduktioner och patologtjänster till denna grupp.,"The services in this service subclass meet the following definition of specialised medical care: Specialised medical care means examinations and treatment provided by medical specialists in a hospital. According to this definition, the class also contains post-mortem examinations and a pathologist’s services.",,,,
v1045,cbebf565-8836-4a27-a5f1-743373d6a49f,VALID,Päihde- ja mielenterveyspalvelut,Tjänster för missbrukare och mentalvårdstjänster,Intoxicant abuse and mental health services,"Tähän palvelualaluokkaan kuuluvat palvelut on kohdennettu päihde- ja muista riippuvuusairauksia sairastaville ja mielenterveyden ongelmista kärsiville. Luokan palvelut voivat olla niin hoitavia, tukevia kuin ennalta ehkäiseviä.","Tjänster som hör till denna serviceundergrupp har anvisats för personer som insjuknat i missbrukar- och övriga beroendsjukdomar och för de som lider av mentala problem. Gruppens tjänster kan vara såväl vårdande, stödjande som förebyggande.","The services in this subclass are intended for persons with intoxicant and other addictions or mental health problems. They may include treatment, support and prevention.",,,,
v1046,ed8efc66-a030-4607-8b9e-53d7a050af89,VALID,Terveystarkastukset,Hälsoundersökningar,Health examinations,"Tähän palvelualaluokkaan kuuluvat sekä säännöllisesti järjestettävät terveystarkastukset (esimerkiksi kouluissa) ja harkinnanvaraiset terveystarkastukset (esimerkiksi työterveydenhuollossa) että tiettyihin sairauksiin liittyvät seulonnat, joita tarjotaan laajoille väestöryhmille.","Till denna serviceundergrupp hör både regelbundna hälsoundersökningar (t.ex. i skolan) och godtyckliga hälsoundersökningar (t.ex. i företagshälsovården) och sållningsliknande, sjukdomsbaserade undersökningar, som erbjuds till omfattande befolkningsgrupper.","This service subclass contains both regular health examinations (for example at schools) and discretionary health examinations (for example in occupational health care services) as well as screenings of large population groups, focusing on specific illnesses.",,,,
v1047,b1e484c4-d20a-4af5-9969-a595b29a9e50,VALID,Koulu- ja opiskelijaterveydenhuolto,Skol- och studerandehälsovården,Pupil and student health care,Tähän alapalveluluokkaan kuuluvat koululaisille ja kokopäivisille opiskelijoille tarkoitetut terveyspalvelut. Luokkaan eivät kuulu näille ryhmille suunnatut sosiaalipalvelut.,Till denna serviceundergrupp hör hälsovårdstjänster för skolelever och studeranden på heltid. Till gruppen hör inte socialtjänster för dessa grupper.,This service subclass contains health services intended for pupils and full-time students. It does not include social services targeted at these groups.,,,,
v1048,bd1f58e0-7082-4a01-a36b-fee521b48676,VALID,Suun ja hampaiden terveydenhuolto,Mun- och tandhälsovård,Oral and dental health care,"Tähän alapalveluluokkaan kuuluvat suun ja hampaiden terveydenhuollon palvelut kuten ennaltaehkäisevä hoito, tarkastukset, hammaslääkärin ja -hygienistin hoitotoimenpiteet sekä oikomishoidon kaltaiset erikoishammaslääkäripalvelut.","Till denna serviceundergrupp hör tjänster i samband med mun- och tandhälsovård såsom kontroller, tandläkarens och -munhygienistens vårdåtgärder samt specialtandläkartjänster såsom ortodonti.","This service subclass contains oral and dental health services, including preventive care, check-ups, procedures carried out by a dentist or a dental hygienist, as well as specialist dental care services, such as orthodontic treatments.",,,,
v1049,c5ca5b49-877b-4ab8-8b21-165910799311,VALID,Oma- ja itsehoito,Egen- och självvård,Self-care,"Tähän alapalveluluokkaan kuuluvat sekä omahoito (potilaan itsensä toteuttamaa, ammattihenkilön kanssa yhdessä suunnittelemaa ja kulloiseenkin tilanteeseen parhaiten sopivaa näyttöön perustuvaa hoitoa) että itsehoito (ilman ammattihenkilön apua henkilön tilanteeseensa suunnittelemaa hoitoa, joka saattaa sisältää itselääkintää ja elämäntapamuutoksia).",Till denna servicearbetsgrupp hör tjänster vars syfte är att möjliggöra och stöda klienten att själv vårda sjukdomen som konstaterats till den del det är möjligt enligt vårdanvisningarna.,This service subclass contains the self-care that healthcare professionals and the patient together have planned for the patient's specific situation. It also contains self-care in the sense of self-medication and lifestyle changes that the patient takes up without the help or consultations by healthcare professionals.,,,,
v1050,b67c8413-d510-46be-9cab-de010b89b458,VALID,Työterveyshuolto,Företagshälsovården,Occupational health care,"Tässä alapalveluluokassa käsitellään niitä palveluja, joita työnantaja järjestää työntekijöiden työkyvyn ylläpitämiseksi, terveyden edistämiseksi ja työperäisten sairauksien ehkäisemiseksi.","I denna serviceundergrupp behandlas de tjänster som arbetsgivaren ordnar för att upprätthålla arbetstagarnas arbetsförmåga, för att främja hälsan och för att förebygga arbetsrelaterade sjukdomar.","This service subclass contains the services that an employer organises for the employees in order to maintain their work ability, to improve their health and to prevent work-related diseases.",,,,
v1051,22dd1fce-a27e-4ea5-be30-b2865fb194c9,VALID,Kuntoutus,Rehabilitering,Rehabilitation,"Tässä. alapalveluluokassa käsitellään läkisääteisiä ja muita palveluja, joiden ensisijainen tarkoitus on palauttaa henkilön eri syistä alentunut työ- tai toimintakyky erilaisin terapeuttisin ja/tai lääkinnällisin menetelmin.","I denna serviceundergrupp behandlas lagstadgade och övriga tjänster vars primära syfte är att återställa personens arbets- eller funktionsförmåga, som av olika anledningar blivit nedsatt, med hjälp av olika terapeutiska och/eller medicinska metoder.",This service subclass contains statutory and other services whose primary purpose is to help a person recover his or her work or functional ability that has been reduced for various reasons through different therapeutic and/or medical methods.,,,,
v1052,11bd622e-5d8d-46c0-a958-744c352697a3,VALID,Kotisairaanhoito ja omaishoito,Hemsjukvård och närståendevård,Home nursing and informal care,"Tässä alapalveluluokassa käsitellään kotisairaanhoitoa palveluna, joka tukee potilaan kotona asumista. Tähän liittyvät sekä kotisairaanhoidon toiminnot että kotisairaanhoidon tuki ja sen hakemismenettelyt. Myös omaishoito kuuluu tähän luokkaan ja sisältää omaishoitajan tuet ja etuudet, perhevapaaoikeudet sekä omaishoitajuuteen liittyvät sopimukset.","I denna serviceundergrupp behandlas hemsjukvård som en tjänst som stöder patientens boende hemma. Till detta hör både hemsjukvårdsfunktioner och hemvårdsstöd och dess ansökningsförfaranden. Till denna grupp hör också närståendevård och närståendevårdarens arvoden och förmåner, rätt till familjeledighet samt avtal om närståendevård.","This service subclass contains home nursing as a service that supports a patient in living at home. It includes home nursing activities, support for home nursing and procedures for applying for this support. This class also contains informal care, which includes subsidies and benefits for informal carers, rights to family leave and contracts related to informal caring.",,,,
v1053,edad8fc1-34f2-42af-b567-e2c73918bbf4,VALID,Lääkkeet ja apteekit,Läkemedel och apotek,Medicines and pharmacies,"Tähän alapalveluluokkaan kuuluvat lääkkeistä tiedottamiseen, lääkemääräyksiin, lääkekorvauksiin ja lääkevahinkojen käsittelyyn liittyvät asiat.","Till denna serviceundergrupp hör ärenden i samband med information om läkemedel, läkemedelsrecept, läkemedelsersättning och behandling av läkemedelsskador.","This service subclass includes issues related to disseminating information about medicines, prescriptions, reimbursement of medicine expenses, and the processing of pharmaceutical injuries.",,,,
v1054,ea084be4-a43c-4f2b-8e68-ca952ae2e29d,VALID,Terveyden vertais- ja vapaaehtoistoiminta,Hälsovårdens stöd av likställda och frivilligverksamhet,Health-related peer and voluntary activities,"Tähän alapalveluluokkaan kuuluvat sekä vertaistoiminta (vapaaehtoisuuteen perustuva tuki ja ohjaus, jota tietyn sairauden kanssa elävät tai kyseisen sairauden kokeneet henkilöt tai ryhmät antavat samassa tilanteessa oleville) että vapaaehtoistoiminta (vapaaehtoisuuteen perustuva tuki ja ohjaus, jota henkilöt tai yhteisöt antavat sairastuneille ilman vertaisryhmäasetelmaa). Vertaistoimintaa on mm. rahapeliongelmiin, lapsettomuuteen, omaishoitoon, päihderiippuvuuteen, sairauksiin, sukupuolisuuteen, surutyöhön, syömishäiriöihin, tupakoinnin lopettamiseen tai vammaan liittyvä vertaistoiminta.","Till denna serviceundergrupp hör både stödverksamhet av likställda (stöd och handledning som grundar sig på frivillighet och som personer eller grupper som lever med en viss sjukdom eller har erfarit den själva erbjuder andra i samma situation) och frivilligverksamhet (stöd och handledning som baserar sig på frivillighet, som personer eller samfund ger insjuknade personer utan arrangemang av stöd av likställda). Stödverksamhet av likställda ges bl.a. för hasardspelproblem, infertilitet, närståendevård, missbruksproblem, sjukdomar, sexualitet, sorgearbete, ätstörningar, att sluta röka eller stöd av likställda när det gäller en skada.","This service subclass contains both peer activities (volunteer support and guidance provided by individuals or groups who live with or have experienced a certain illness for those in a similar situation) and volunteer activities (volunteer support and guidance provided by individuals or communities for patients without a peer group setting). Peer activities include those related to gambling problems, childlessness, informal care, intoxicant addition, illnesses, sexuality, bereavement, eating disorders, giving up smoking or a disability.",,,,
v1055,ea1e0075-957e-40e2-815c-8710d384f4f4,VALID,Terveyden ja hyvinvoinnin neuvonta- ja ohjauspalvelut,Hälsovårdens rådgivnings- och handledningstjänster,Advisory and guidance services for health and well-being,"Yksittäiseen palvelutapahtumaan, käyntiin palveluyksikössä tai palvelukokonaisuuteen tai sen hallintaan liittyvät palvelut, joiden avulla asiakas saa neuvontaa ja opastusta etsiessään palveluja terveyden ja hyvinvoinnin ongelmatilanteisiin ja terveyden edistämiseen. Näitä ovat esimerkiksi potilasasiamiespalvelu, ajanvaraukset, muistutuspalvelut, oma- ja itsehoitopalvelut ja palveluohjaus.","Tjänster i anslutning till en separat servicehändelse, besök till en serviceenhet eller tjänster i samband med en servicehelhet eller dess hantering, med hjälp av vilken klienten får rådgivning och handledning när han eller hon söker hälsovårdstjänster i problemsituationer. Sådana är t.ex. patientombudsmannens tjänster, tidsbeställningar, påminnelsetjänster, egenvårdstjänster och servicestyrning.","The class contains services related to an individual service transaction, visit to a service unit, or a service package or its management, through which a client receives advice and guidance when seeking health and/or well-being services in either problem situations or health promotion. These include the patient ombudsman’s services, appointments, reminder services, self-care services and case management services.",,,,
v1056,c8405ae0-ee38-48f9-92b5-15997294f34d,VALID,Hyvinvointipalvelujen tukipalvelut,Hälsovårdens stödtjänster,Support services for well-being services,"Palveluyksikön perustehtävää tai yksittäistä asiakasta tukevat asiakas- ja potilaspalvelut, joita ovat esim. majoitukseen, ravitsemukseen, virkistykseen ja tiedonsaantiin liittyvät palvelut palveluyksikön asiakkaille ja potilaille sekä apuvälinepalvelut.","Klient- och patienttjänster som stöder serviceenhetens grunduppgift eller en individuell klient och som utgörs av tjänster i anslutning till exempelvis inkvartering, näring, rekreation och tillgång till information för serviceenhetens klienter och patienter.","Client and patient services that support the basic task of a unit or an individual client, which include services related to accommodation, nutrition, recreation and access to information for service unit clients and patients. Services related to daily living aids are also in this category.",,,,
v1057,a765274a-cbeb-4b50-9d58-709485c2bde7,VALID,Potilaan oikeudet,Patientombudsmannen och patientens rättigheter,Patient’s rights,"Tähän alapalveluluokkaan kuuluvat potilasasiamiehen palvelut sekä ne tieto- ja muut palvelut, joiden kautta ja puitteissa potilas voi toteuttaa oikeuksiaan.",Till denna serviceundergrupp hör patientombudsmannens tjänster samt de data- och övriga tjänster genom vilka och inom ramen för vilka patienten kan utöva sina rättigheter.,This service subclass includes a patient ombudsman's services as well as information and other services through and within which patients can implement their rights.,,,,
v1058,f69d4774-107c-4729-a9d7-f25e55d5a36b,VALID,Ravinto,Näring,Nutrition,Tässä alapalveluluokassa käsitellään terveyttä ylläpitävään ravitsemukseen kuten ravitsemussuosituksiin ja ravitsemusneuvontaan liittyviä asioita.,I denna serviceundergrupp behandlas ärenden i anslutning till näring som upprätthåller hälsan såsom näringsrekommendationer och näringsrådgivning.,"This service subclass contains issues related to nutrition that maintains good health, including nutrition recommendations and nutritional advice.",,,,
v1059,b15ce5f3-3c16-4a5f-a7ef-350f1d67c587,VALID,Elintarviketurvallisuus,Livsmedelssäkerhet,Food safety,Tähän alapalveluluokkaan kuuluvat ravinnon turvallisuuteen sekä elintarvikevalvontaan ja -tiedotukseen liittyvät asiat. Tämä luokka sisältää myös yritystoiminnassa tarvittavat elintarviketurvallisuuteen liittyvät luvat ja ilmoitukset.,Till denna serviceundergrupp hör ärenden i anslutning till näringssäkerhet samt livsmedelsövervakning och -information. Denna grupp innehåller också tillstånd och anmälningar i anslutning till livsmedelssäkerhet som behövs inom företagsverksamhet.,This service subclass includes issues related to food safety as well as inspections and information activities associated with food safety. The class also includes food safety related permits and notifications that are required for enterprising.,,,,
v1060,bc8d9604-bde5-4895-a709-842b4c3117d9,VALID,Koulutus,Utbildning,Education and training,"Tässä palveluluokassa käsitellään yleisen oppivelvollisuuden piirissä olevia koulutuspalveluja, toisen asteen koulutuspalveluja, korkea-asteen koulutusta sekä aikuis-, jatko- ja täydennyskoulutusta. Opintojen taloudellinen tuki, ulkomailla opiskeleminen ja tieteelliseen työhön kuuluvat palvelut kuuluvat myös tähän luokkaan.","I denna serviceundergrupp behandlas utbildningstjänster som omfattas av den allmänna läroplikten, andra gradens utbildningstjänster, utbildning av högre graden samt vuxen-, fortsättnings- och kompletteringsutbildning. Ekonomiskt stöd för studierna, studier utomlands och tjänster i samband med vetenskapligt arbete hör också till denna grupp.","This service class contains education services within the scope of compulsory education, secondary level education and training services, higher education as well as adult, further and continuing education and training. Financial support for studies, studying abroad and services related to scientific work are also included in this class.",,,,
v1061,197d3fe2-d132-4fea-af7c-95fdb06a3ea2,VALID,Esiopetus,Förskoleundervisning,Pre-school education,Tähän palvelualaluokkaan kuuluvat sekä varsinainen esiopetus sisältöineen että esiopetuksen paikallinen järjestäminen ja vaihtoehdot lasten ja heidän perheidensä kannalta.,Till denna servicearbetsgrupp hör både den egentliga förskoleundervisningen med innehåll och det lokala ordnandet av förskoleundervisning och alternativ med tanke på barnen och deras familjer.,"This service subclass contains pre-school education itself and its contents, the local organisation of pre-school education, and alternatives for children and their parents.",,,,
v1062,0525256f-3f1b-4862-bf1c-5aec97ddbfd2,VALID,Perusopetus,Grundläggande utbildning,Basic education,"Tähän palvelualaluokkaan kuuluvat sekä varsinainen perusopetus sisältöineen ja tavoitteineen sekä perusopetuksen yhteydessä ja sen tukemiseksi välittömästi tarjottavat palvelut, esimerkiksi koulukuljetukset, kouluruokailu ja avustajapalvelut. Tähän luokkaan kuuluvat myös Suomen perusopetuksen mukaisen peruskoulutuksen ulkomailla suorittamiseen liittyvät asiat.","Till denna serviceundergrupp hör både den egentliga grundläggande utbildningen med innehåll och mål samt direkta tjänster som erbjuds i anslutning till grundläggande utbildningen och för att stöda den, t.ex. skoltransporter, skolmat och assistanstjänster. Till denna grupp hör också ärenden i anslutning till avläggande av grundläggande utbildning utomlands i enlighet med den finska grundläggande utbildningen.","This service subclass contains basic education itself with its contents and objectives as well as the services offered directly in connection with and in support of basic education, for example school transport, school lunches and an assistant’s services. The class also includes issues related to completing abroad a basic education that is in line with the Finnish basic education.",,,,
v1063,27aff915-70b5-476e-80f3-7502e398bd28,VALID,Aamu- ja iltapäiväkerhotoiminta,Morgon- och eftermiddagsverksamhet,Morning and afternoon club activities,"Tässä palvelualaluokassa käsitellään sitä kunnan järjestämää aamu- ja iltapäivätoimintaa, jonka tarkoitus on tukea kodin ja koulun kasvatustyötä ja lapsen tasapainoista kasvua ja tarjota mahdollisuuksia sekä ohjattuun toimintaan että valvottuun lepoon kodin ulkopuolella.",I denna serviceundergrupp behandlas den morgon- och eftermiddagsverksamhet som ordnas av kommunen och vars syfte är att stöda hemmets och skolans uppfostringsarbete och barnets balanserade tillväxt samt erbjuda möjligheter till handledd verksamhet och övervakad vila utanför hemmet.,"This service subclass contains the morning and afternoon activities organised by a municipality intended to support the educational work of the home and the school and the child’s balanced growth, in addition to offering opportunities for both instructor-led activities and a supervised rest period outside the home.",,,,
v1064,b384ba2f-7f66-48fc-b794-4f3481c3f1f7,VALID,Ammatinvalinta ja opintojen ohjaus,Yrkesval och studiehandledning,Career guidance and guidance counselling,"Tähän alapalveluluokkaan kuuluvat ne Suomen koulutusjärjestelmän puitteissa tarjottavat palvelut, jotka opastavat, neuvovat ja ohjaavat oppilasta tai opiskelijaa tekemään perusteltuja valintoja ammatin ja/tai koulutussuuntautumisen valitsemiseksi. Työelämässä jo olevan henkilön uraohjauspalvelut ovat omassa alaluokassaan Työ ja työttömyys -pääluokan alla.","Till denna serviceundergrupp hör de tjänster som erbjuds inom ramarna för Finlands utbildningssystem och som guidar, ger råd och handleder elever eller studerande att fatta motiverade beslut för att välja yrke och/eller utbildningsinriktning. Karriärvägledningstjänster för en person som redan är i arbetslivet finns i den egna undergruppen under huvudgruppen Arbete och arbetslöshet.","This service subclass contains services offered within the Finnish education system intended to guide, advise and direct a pupil or a student in making justified choices when choosing a career and/or an educational path. Career guidance services for persons already in the labour market are included in their own subclass under the main class Work and unemployment.",,,,
v1065,6251ee7a-c795-4f9b-91d8-92eb67a84419,VALID,Koulutukseen hakeminen,Hur man söker till utbildning,Applying for a place in education and training,Tässä alapalveluluokassa käsitellään eri koulutusasteiden oppilaitoksiin hakemista ja siihen liittyviä asiointipalveluja ja hakemisen edellytyksiä.,I denna serviceundergrupp behandlas sökningen till läroverk inom olika utbildningsstader och ärendehanteringstjänster i samband med detta samt förutsättningar för sökande.,This service subclass contains applying for places in educational institutions of different levels and the associated e-services and application criteria.,,,,
v1066,8538fc03-3b5a-4954-a6a3-43b0581ef825,VALID,Toisen asteen ammatillinen koulutus,Yrkesutbildning på andra stadiet,Vocational upper secondary education and training,"Tässä alapalveluluokassa käsitellään toisen asteen ammatillisen koulutuksen rakennetta, tutkintovaatimuksia ja koulutuksen suorittamistapoja. Opintojen taloudellinen tuki käsitellään omassa alapalveluluokassaan.","I denna serviceundergrupp behandlas strukturen på andra gradens yrkesutbildning, examenskrav och utföringssätt för utbildningen. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.","This service subclass contains the structure, qualification requirements and completion methods of vocational upper secondary education and training. Financial support for studies is included in its own subclass.",,,,
v1067,0caef988-6f0c-47df-9d55-8f49f07577b2,VALID,Oppisopimus,Läroavtal,Apprenticeship training,"Tässä alapalveluluokassa käsitelläään oppisopimuskoulutusta ammatillisen tutkinnon suorittamistapana: koulutuksen rakenne, tutkinnon suorittaminen, koulutuksen sopimusluonne. Opintojen taloudellinen tuki käsitellään omassa alapalveluluokassaan.","I denna serviceundergrupp behandlas läroavtalsutbildningen som ett sätt att avlägga en yrkesexamen: utbildningens struktur, avläggande av examen, typ av avtal för utbildningen. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.","This service subclass contains apprenticeship training as a method of obtaining a vocational qualification: the structure of the education and training, completion of a qualification and the contractual nature of the training. Financial support for studies is included in its own subclass.",,,,
v1068,52885fe5-078e-4866-8864-172ab5f5bfa3,VALID,Lukiokoulutus,Gymnasieutbildning,General upper secondary education,"Tähän alapalveluluokkaan kuuluvat lukiokoulutuksen sisältö ja tarkoitus, lukiokoulutukseen hakeminen, lukion suorittamisen tavat ja ylioppilastutkinto. Opintojen taloudellinen tuki käsitellään omassa alapalveluluokassaan.","Till denna serviceundergrupp hör gymnasieutbildningens innehåll och syfte, hur man söker till gymnasieutbildningen, sätt att genomföra gymnasieutbildning samt studentexamen. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.","This service subclass contains the contents and objectives of general upper secondary education, applying for a place in general upper secondary education, methods of completing the education and the matriculation examination. Financial support for studies is included in its own subclass.",,,,
v1069,cb480926-8311-4ac7-8d2a-74dedbc0b073,VALID,Korkeakoulutus,Högskoleutbildning,Higher education,"Tähän alapalveluluokkaan kuuluvat korkea-asteen koulutuksen sisältö ja tarkoitus, korkeakoulutukseen hakeminen ja tutkintovaatimukset ja -rakenteet. Opintojen taloudellinen tuki käsitellään omassa alapalveluluokassaan.","Till denna serviceundergrupp hör innehåll och syfte för en utbildning av högre nivå, hur man söker till utbildning av högre nivå samt examenskrav och -strukturer. Det ekonomiska stödet för studierna behandlas i sin egen serviceundergrupp.","This service subclass contains the contents and objectives of higher education, applying for a place in higher education and decree requirements and structures. Financial support for studies is included in its own subclass.",,,,
v1070,89076b4d-12c2-4fe5-a3cd-9a4037345b6b,VALID,Aikuis- ja täydennyskoulutus,Vuxen- och kompletteringsutbildning,Adult and continuing education,"Tässä alapalveluluokassa käsitellään ensi sijassa työikäisten jatko- ja täydennyskoulutusta, joka tukee nykyisessä työssä toimimista tai ammatin vaihtamista. Luokkaan kuuluvat aikuis- ja täydennyskoulutuksen muodot, koulutukseen hakeutuminen, koulutusta antavat oppilaitokset ja tutkintorakenteet. Myös yrityksen henkilöstölleen tarjoama tai tukema aikuis- ja täydennyskoulutus kuuluu tähän.","I denna serviceundergrupp behandlas fortsättnings- och kompletteringsutbildning för i första hand personer i arbetsför ålder som stöder utförandet av det nuvarande arbetet eller byte av yrke. Till gruppen hör former av vuxen- och kompletteringsutbildning, hur man söker till utbildningen, läroverk som ger utbildning och examensstrukturer. Även den vuxen- och kompletteringsutbildning som företaget erbjuder eller stöder för personalen hör till denna grupp.","This service subclass mainly contains further and continuing education for working age citizens that supports them in working in their current jobs or in change of occupation situations. The class includes forms of adult and continuing education, applying for a place in education, institutions providing education and qualification structures. It also includes adult or continuing education a company can arrange to their personnel.",,,,
v1071,dcf0dfdd-5940-4304-9572-f904ed5c6e57,VALID,Yrityskoulutus,Företagsutbildning,Enterprise training,"Tähän luokkaan kuuluvat koulutus- ja valmennustilaisuudet, joita yritykset järjestävät tai hankkivat itse henkilöstönsä osaamisen kehittämiseksi sekä neuvontapalvelut näihin asioihin liittyen.",Till denna grupp hör utbildnings- och skolningsevenemang som företagen arrangerar eller skaffar själva för att utveckla personalens kompetens samt rådgivningstjänster i samband med sådana ärenden.,"This class includes training and coaching events that companies organise or procure in order to improve the competence of their personnel, as well as advisory services related to these issues.",,,,
v1072,38407d84-e511-428e-a49c-aee1fed62fb5,VALID,Yrittäjäkoulutus,Företagarutbildning,Entrepreneur training,Tähän luokkaan kuuluvat yrittäjyyden oppimiseen ja yrittäjäksi kouluttautumiseen liittyvät asiat.,Till denna grupp hör ärenden i anslutning till utbildning i entreprenörskap och företagarskolning.,This class includes issues related to learning about entrepreneurship and training for becoming an entrepreneur.,,,,
v1073,ea89479b-129a-4726-b381-077b076a25f3,VALID,Opiskelu ulkomailla,Studier utomlands,Studying abroad,Tässä palvelualaluokassa käsitellään ensi sijassa toisen ja korkea-asteen opintojen suorittamista ulkomailla joko opiskelijavaihdossa tai muunlaisen menettelyn puitteissa. Tähän liittyvät hakumenettelyt ja ulkomailla suoritettujen tutkintojen hyväksyminen ja vastaavuudet Suomessa.,I denna serviceundergrupp behandlas genomförande av i första hand andra gradens studier och studier av högre nivå utomlands antingen genom utbytesprogram eller inom ramen för något annat förfarande. Till detta anknyter ansökningsförfaranden och godkännandet av examen som avlagts utomlands samt deras motsvarigheter i Finland.,This service subclass primarily contains pursuing secondary and tertiary level studies abroad through either a student exchange scheme or some other procedure. It also includes the application procedures and the approval and comparability of qualifications obtained.,,,,
